MP:0005282	decreased fatty acid level
ZP:0006466	abnormal(ly) disrupted protein phosphorylation
MP:0008089	abnormal T-helper 2 cell number
MP:0010035	increased erythrocyte clearance
HP:0005756	Neonatal epiphyseal stippling
HP:0003764	Nevus
HP:0001580	Pigmented micronodular adrenocortical disease
HP:0100544	Neoplasm of the heart
HP:0001579	Primary hypercorticolism
HP:0003466	Paradoxical increased cortisol secretion on dexamethasone suppression test
HP:0001575	Mood changes
HP:0008225	Thyroid follicular hyperplasia
HP:0100631	Neoplasm of the adrenal gland
HP:0005587	Profuse pigmented skin lesions
HP:0100669	Abnormal pigmentation of oral cavity
HP:0006691	Pulmonic valve myxoma
HP:0006689	Bacterial endocarditis
HP:0002920	Decreased circulating ACTH level
HP:0010788	Testicular neoplasm
HP:0100008	Schwannoma
HP:0006769	Myxoid subcutaneous tumors
HP:0002895	Papillary thyroid carcinoma
HP:0002893	Pituitary adenoma
HP:0003118	Increased circulating cortisol level
MP:0008018	increased facial tumor incidence
MP:0006002	abnormal small intestinal transit time
MP:0012272	decreased axial mesoderm size
ZP:0007427	abnormal(ly) increased occurrence protein kinase activity
HP:0001150	Choroidal sclerosis
ZP:0003211	abnormal(ly) delayed hatching
ZP:0004782	abnormal(ly) present in fewer numbers in organism eye iridophore
ZP:0004783	abnormal(ly) irregular spatial pattern retinal pigmented epithelium
ZP:0004780	abnormal(ly) lacks parts or has fewer parts of type retinal neural layer towards retinal outer plexiform layer
ZP:0004781	abnormal(ly) increased curvature spinal cord
ZP:0004778	abnormal(ly) increased occurrence pigmentation
ZP:0004777	abnormal(ly) disrupted melanosome organization
ZP:0003496	abnormal(ly) irregular spatial pattern iridophore
ZP:0004793	abnormal(ly) apoptotic retinal ganglion cell
ZP:0004791	abnormal(ly) disorganized photoreceptor cell
ZP:0004788	abnormal(ly) has fewer parts of type retinal outer nuclear layer towards photoreceptor cell
ZP:0004787	abnormal(ly) apoptotic retinal outer nuclear layer
ZP:0004786	abnormal(ly) present in fewer numbers in organism retinal pigmented epithelium melanosome
ZP:0004785	abnormal(ly) irregular thickness retinal pigmented epithelium
ZP:0004784	abnormal(ly) hypertrophic retinal pigmented epithelium
MP:0011144	thin lung-associated mesenchyme
MP:0001778	abnormal brown adipose tissue amount
HP:0009824	Upper limb undergrowth
HP:0000042	Absent external genitalia
MP:0004657	small sacral vertebrae
MP:0008991	abnormal bile canaliculus morphology
MP:0009900	vomer bone hypoplasia
ZP:0005776	abnormal(ly) disorganized EVL actin filament
ZP:0005773	abnormal(ly) rate cell division
ZP:0005774	abnormal(ly) increased permeability EVL
ZP:0005775	abnormal(ly) moderately well differentiated EVL
HP:0009775	Amniotic constriction ring
HP:0009760	Antecubital pterygium
HP:0009761	Anterior clefting of vertebral bodies
HP:0009759	Neck pterygia
HP:0009757	Intercrural pterygium
HP:0005905	Abnormal cervical curvature
HP:0001040	Multiple pterygia
HP:0004459	Exostosis of the external auditory canal
HP:0008729	Absence of labia majora
HP:0005617	Bilateral camptodactyly
HP:0006446	Dysplastic patella
HP:0003634	Generalized amyoplasia
HP:0009110	Diaphragmatic eventration
HP:0004889	Intermittent episodes of respiratory insufficiency due to muscle weakness
HP:0003436	Prolonged miniature endplate currents
ZP:0006845	abnormal(ly) amplitude synaptic transmission, cholinergic
HP:0011750	Neoplasm of the anterior pituitary
ZP:0000168	abnormal(ly) morphology neural tube
ZP:0004303	abnormal(ly) arrested skeletal muscle contraction
ZP:0004238	abnormal(ly) decreased diameter slow muscle cell myofibril
ZP:0004313	abnormal(ly) membrane potential slow muscle cell
ZP:0004309	abnormal(ly) degenerate somite fast muscle cell
ZP:0001934	abnormal(ly) arrested hatching
ZP:0004308	abnormal(ly) morphology somite slow muscle cell
ZP:0004310	abnormal(ly) atrophied myotome skeletal muscle cell
ZP:0004305	abnormal(ly) arrested neuromuscular synaptic transmission
ZP:0004307	abnormal(ly) quality hatching gland
ZP:0002645	abnormal(ly) malformed intersegmental vein
ZP:0001760	abnormal(ly) disrupted maintenance of epithelial cell apical/basal polarity
ZP:0001765	abnormal(ly) disorganized heart
ZP:0001768	abnormal(ly) structure retinal pigmented epithelium
ZP:0001775	abnormal(ly) unstratified retina
ZP:0001774	abnormal(ly) cellular quality retina
ZP:0001776	abnormal(ly) positional polarity retina neuroepithelial cell
ZP:0001777	abnormal(ly) aplastic atrium
ZP:0001257	abnormal(ly) structure, cavities ventricular system
ZP:0001752	abnormal(ly) process quality mitosis
ZP:0001754	abnormal(ly) arrested retina layer formation
MP:0008060	abnormal podocyte slit diaphragm morphology
MP:0011870	abnormal podocyte polarity
MP:0001318	pupil opacity
HP:0004373	Focal dystonia
HP:0006938	Impaired vibration sensation at ankles
MP:0005231	abnormal brachial lymph node morphology
MP:0009623	enlarged inguinal lymph nodes
MP:0009631	enlarged axillary lymph nodes
HP:0012578	Membranous nephropathy
MP:0009756	impaired behavioral response to nicotine
MP:0009752	enhanced behavioral response to nicotine
MP:0011179	decreased erythroblast number
MP:0011114	abnormal airway basal cell differentiation
MP:0011115	airway basal cell hyperplasia
MP:0001054	failure of neuromuscular synapse presynaptic differentiation
ZP:0003068	abnormal(ly) morphology sensory neuron
ZP:0003072	abnormal(ly) morphology Rohon-Beard neuron
ZP:0009378	abnormal(ly) arrested response to external stimulus
ZP:0009595	abnormal(ly) decreased rate fast-twitch skeletal muscle fiber contraction
ZP:0004375	abnormal(ly) morphology pharyngeal arch cartilage
ZP:0009592	abnormal(ly) increased duration neuromuscular synaptic transmission
ZP:0000666	abnormal(ly) morphology ceratohyal cartilage chondrocyte
ZP:0000667	abnormal(ly) decreased size ceratohyal cartilage chondrocyte
HP:0006557	Polycystic liver disease
MP:0011344	abnormal loop of Henle ascending limb thick segment morphology
ZP:0006448	abnormal(ly) disrupted establishment of anatomical structure orientation
ZP:0006452	abnormal(ly) swollen liver endoplasmic reticulum
ZP:0006453	abnormal(ly) curved lateral whole organism
MP:0005111	hyperdipsia
HP:0012332	Abnormal autonomic nervous system physiology
MP:0003619	abnormal urine color
MP:0011625	cystolithiasis
MP:0011766	abnormal urinary bladder mucosa morphology
ZP:0008759	abnormal(ly) detached from intersegmental vessel endothelial tip cell towards dorsal aorta
ZP:0008758	abnormal(ly) process quality intersegmental vessel sprouting angiogenesis
ZP:0003230	abnormal(ly) pigmented whole organism
ZP:0002877	abnormal(ly) deformed head
MP:0012269	nuchal edema
MP:0002313	abnormal tidal volume
MP:0002338	abnormal pulmonary ventilation
MP:0012306	enhanced spatial learning
MP:0000618	small salivary gland
MP:0008756	abnormal T cell receptor alpha chain V-J recombination
MP:0002473	impaired complement classical pathway
HP:0004953	Abdominal aortic aneurysm
MP:0011699	abnormal brown adipose tissue thermogenesis
MP:0001379	abnormal penile erection
MP:0010786	stomach fundus hypertrophy
MP:0004216	salt-resistant hypertension
MP:0010781	pyloric sphincter hypertrophy
MP:0012056	abnormal polar trophectoderm morphology
HP:0008278	Cerebellar cortical atrophy
HP:0008200	Primary hyperparathyroidism
HP:0004398	Peptic ulcer
ZP:0005792	abnormal(ly) disorganized caudal fin basal lamina
ZP:0005791	abnormal(ly) disorganized caudal fin
ZP:0005790	abnormal(ly) disorganized integument
MP:0002714	increased glycogen catabolism rate
ZP:0005416	abnormal(ly) deformed atrium
ZP:0002370	abnormal(ly) absent hyomandibula
ZP:0004987	abnormal(ly) decreased thickness heart tube
ZP:0009431	abnormal(ly) disrupted metallopeptidase activity
HP:0007814	Salt and pepper retinopathy
ZP:0009192	abnormal(ly) increased length trabecula communis
ZP:0005435	abnormal(ly) disrupted palate development
ZP:0009191	abnormal(ly) increased length ethmoid cartilage
ZP:0004501	abnormal(ly) disrupted hepatocyte differentiation
ZP:0004390	abnormal(ly) arrested cell migration involved in sprouting angiogenesis
ZP:0006711	abnormal(ly) disrupted left/right axis specification
ZP:0006619	abnormal(ly) present in greater numbers in organism blood nucleate erythrocyte
ZP:0009268	abnormal(ly) hemorrhagic cranium
ZP:0009269	abnormal(ly) deformed intersegmental vessel
ZP:0009271	abnormal(ly) decreased size atrial myocardium
ZP:0009270	abnormal(ly) decreased size myocardium
MP:0008847	abnormal suprachiasmatic nucleus morphology
MP:0009639	abnormal olivary pretectal nucleus morphology
MP:0003242	loss of basal ganglia neurons
HP:0004639	Elevated amniotic fluid alpha-fetoprotein
HP:0001341	Olfactory lobe agenesis
HP:0005343	Hypoplasia of the bladder
HP:0000180	Lobulated tongue
MP:0011998	decreased embryonic cilium length
MP:0012093	absent nodal flow
MP:0011059	abnormal ependyma motile cilium morphology
ZP:0002512	abnormal(ly) edematous kidney
HP:0008587	Mild neurosensory hearing impairment
HP:0003409	Distal sensory impairment of all modalities
HP:0012531	Pain
HP:0007924	Slow decrease in visual acuity
HP:0003384	Peripheral axonal atrophy
ZP:0009226	abnormal(ly) decreased thickness skeletal muscle cell myofibril
ZP:0009227	abnormal(ly) disorganized CaP motoneuron
ZP:0009224	abnormal(ly) decreased area motor neuron presynaptic active zone
ZP:0009225	abnormal(ly) decreased area muscle cell neuromuscular junction
ZP:0009230	abnormal(ly) mislocalised neuron mitochondrion
ZP:0009228	abnormal(ly) branchiness CaP motoneuron
ZP:0009229	abnormal(ly) circular neuron mitochondrion
ZP:0009218	abnormal(ly) decreased occurrence axon transport of mitochondrion
ZP:0009219	abnormal(ly) distended yolk
ZP:0009217	abnormal(ly) decreased process quality neuromuscular junction development
ZP:0009222	abnormal(ly) immature RoP motor neuron
ZP:0009223	abnormal(ly) absent motor neuron axon
ZP:0009221	abnormal(ly) decreased length RoP motor neuron
ZP:0007797	abnormal(ly) decreased occurrence swimming
ZP:0003658	abnormal(ly) disrupted neuromuscular junction development
ZP:0003659	abnormal(ly) disrupted skeletal muscle acetylcholine-gated channel clustering
MP:0011392	increased fetal cardiomyocyte apoptosis
MP:0010012	ectopic cerebral cortex pyramidal cells
ZP:0008417	abnormal(ly) deformed floor plate
ZP:0008418	abnormal(ly) hemorrhagic post-vent region
ZP:0006771	abnormal(ly) disrupted proteoglycan biosynthetic process
ZP:0006777	abnormal(ly) hypoplastic neurocranium anterior region
ZP:0007697	abnormal(ly) increased size retina nucleus
MP:0008846	abnormal supraoptic nucleus morphology
MP:0008845	abnormal paraventricular hypothalamic nucleus morphology
ZP:0001221	abnormal(ly) increased volume hepatic sinusoid blood
ZP:0001220	abnormal(ly) increased size hepatic sinusoid
ZP:0001200	abnormal(ly) process quality hypothalamus cell differentiation
ZP:0001201	abnormal(ly) quality dopamine metabolic process
ZP:0001206	abnormal(ly) process quality dopaminergic neuron differentiation
ZP:0001205	abnormal(ly) disrupted cell-cell adhesion involved in gastrulation
ZP:0001210	abnormal(ly) present in fewer numbers in organism hypothalamus dopaminergic neuron
ZP:0001209	abnormal(ly) present in fewer numbers in organism hypothalamus neurosecretory neuron
ZP:0001214	abnormal(ly) present in fewer numbers in organism caudal tuberculum dopaminergic neuron
ZP:0001212	abnormal(ly) present in fewer numbers in organism preoptic area neurosecretory neuron
ZP:0001213	abnormal(ly) present in fewer numbers in organism caudal tuberculum neurosecretory neuron
HP:0012256	Absent outer dynein arms
HP:0012208	Nonmotile sperm
ZP:0005628	abnormal(ly) disrupted basal protein localization
ZP:0005625	abnormal(ly) process quality alkaline phosphatase activity
ZP:0005624	abnormal(ly) process quality liver development
ZP:0005627	abnormal(ly) process quality morphogenesis of embryonic epithelium
ZP:0005634	abnormal(ly) structure mandibular arch skeleton
ZP:0005626	abnormal(ly) discontinuous endoderm development
HP:0005977	Hypochloremic metabolic alkalosis
ZP:0007761	abnormal(ly) notched hyosymplectic cartilage
ZP:0007764	abnormal(ly) decreased length hypobranchial muscle
ZP:0007765	abnormal(ly) detached from hypobranchial muscle towards bone tissue
ZP:0007766	abnormal(ly) detached from head muscle towards bone element
ZP:0007767	abnormal(ly) inverted hyohyoideus
ZP:0007753	abnormal(ly) disorganized intermandibularis
ZP:0007752	abnormal(ly) disrupted embryonic skeletal joint morphogenesis
ZP:0007758	abnormal(ly) notched ventral mandibular arch
ZP:0007751	abnormal(ly) delayed cartilage development
ZP:0007750	abnormal(ly) paedomorphic growth odontogenesis
ZP:0001067	abnormal(ly) aplastic ceratobranchial cartilage
HP:0001686	Loss of voice
HP:0002886	Vagal paraganglioma
HP:0003001	Glomus jugular tumor
HP:0001613	Hoarse voice
HP:0006715	Glomus tympanicum paraganglioma
HP:0000361	Pulsatile tinnitus
HP:0001606	Vocal cord paralysis
HP:0002377	Paraganglioma-related cranial nerve palsy
HP:0009762	Facial wrinkling
HP:0008544	Abnormally folded helix
HP:0005833	Joint swelling onset late infancy
HP:0000735	Impaired social interactions
ZP:0002232	abnormal(ly) disrupted habenula development
ZP:0002103	abnormal(ly) absent thrombocyte
ZP:0000798	abnormal(ly) malformed midbrain
ZP:0008078	abnormal(ly) process quality hematopoietic stem cell migration
ZP:0008079	abnormal(ly) has fewer parts of type cranial ganglion towards sensory neuron
ZP:0008077	abnormal(ly) process quality neutrophil differentiation
ZP:0008074	abnormal(ly) process quality myeloid leukocyte differentiation
ZP:0008075	abnormal(ly) process quality thrombocyte differentiation
ZP:0008086	abnormal(ly) present in greater numbers in organism exocrine pancreas
ZP:0008085	abnormal(ly) has fewer parts of type locus coeruleus towards norepinephrin secreting cell
ZP:0008084	abnormal(ly) deformed midbrain
ZP:0008083	abnormal(ly) has fewer parts of type forebrain towards dopaminergic neuron
ZP:0008082	abnormal(ly) aplastic blood island
ZP:0008081	abnormal(ly) has fewer parts of type hindbrain towards serotonergic neuron
ZP:0008091	abnormal(ly) morphology hepatocyte
ZP:0008090	abnormal(ly) present in fewer numbers in organism hindbrain commissure neuron
ZP:0008089	abnormal(ly) has fewer parts of type sympathetic nervous system towards norepinephrin secreting cell
ZP:0003371	abnormal(ly) structure ventricular system
MP:0010642	absent third branchial arch
MP:0005469	abnormal thyroxine level
MP:0010951	abnormal lipid oxidation
MP:0009476	enlarged cecum
MP:0008988	abnormal liver perisinusoidal space morphology
ZP:0005202	abnormal(ly) apoptotic lens
ZP:0005203	abnormal(ly) distended retina
MP:0003834	abnormal adrenergic chromaffin cell morphology
MP:0005556	abnormal kidney clearance
MP:0004019	abnormal vitamin homeostasis
HP:0007413	Nevus flammeus of the forehead
HP:0100327	Cow milk allergy
HP:0008952	Shoulder muscle hypoplasia
HP:0100694	Tibial torsion
HP:0006507	Aplasia/Hypoplasia of the humerus
HP:0004977	Bilateral radial aplasia
HP:0004717	Axial malrotation of the kidney
HP:0006495	Aplasia/Hypoplasia of the ulna
HP:0001495	Carpal osteolysis
HP:0001225	Wrist swelling
HP:0001473	Metatarsal osteolysis
HP:0001785	Ankle swelling
HP:0006234	Osteolysis involving tarsal bones
HP:0001504	Metacarpal osteolysis
MP:0010396	ectopic branchial arch
MP:0010397	abnormal otic capsule development
ZP:0009952	abnormal(ly) aplastic rhombomere 6
ZP:0009959	abnormal(ly) increased thickness pharyngeal arch 3 cartilage element
ZP:0009958	abnormal(ly) malformed pharyngeal arch cartilage element
ZP:0009961	abnormal(ly) decussate hindbrain commissure axon
ZP:0009960	abnormal(ly) truncated pharyngeal arch 3 cartilage element
ZP:0009962	abnormal(ly) process quality neural crest hindbrain neural crest cell migration
ZP:0002045	abnormal(ly) morphology rhombomere 5
ZP:0004847	abnormal(ly) disorganized hindbrain radial glial cell
ZP:0001121	abnormal(ly) disrupted embryonic pattern specification
ZP:0001142	abnormal(ly) disorganized rhombomere primary neuron
ZP:0009951	abnormal(ly) process quality semicircular canal formation
ZP:0005982	abnormal(ly) cellular spatiotemporal quality germ cell migration
ZP:0005983	abnormal(ly) disorganized rod bipolar cell
ZP:0005984	abnormal(ly) disorganized cone retinal bipolar cell
HP:0003657	Granular osmiophilic deposits
HP:0008765	Auditory hallucinations
HP:0002367	Visual hallucinations
MP:0002247	abnormal maxillary sinus morphology
MP:0000583	long toenails
HP:0006538	Recurrent bronchopulmonary infections
HP:0012236	Elevated sweat chloride
HP:0001648	Cor pulmonale
MP:0009484	ileum hypertrophy
MP:0009478	coiled cecum
MP:0001135	abnormal uterine cervix morphology
MP:0002309	abnormal vital capacity
MP:0012518	abnormal Brunner's gland morphology
MP:0012519	dilated Brunner's glands
MP:0009150	pancreatic acinar cell atrophy
HP:0012437	Abnormal gallbladder morphology
ZP:0005374	abnormal(ly) decreased volume Kupffer's vesicle
ZP:0006664	abnormal(ly) disrupted multicellular organism growth
MP:0011954	shortened PQ interval
HP:0007545	Congenital palmoplantar keratosis
HP:0006308	Atrophy of alveolar ridges
HP:0006224	Tapering pointed ends of distal finger phalanges
HP:0000166	Severe periodontitis
HP:0001805	Thick nail
HP:0006960	Choroid plexus calcification
HP:0003789	Minicore
ZP:0003235	abnormal(ly) structure mesonephric podocyte
ZP:0003186	abnormal(ly) decreased functionality pronephros
HP:0001664	Torsade de pointes
MP:0005635	decreased circulating bilirubin level
MP:0004731	increased circulating gastrin level
HP:0005550	Chronic lymphatic leukemia
HP:0011947	Respiratory tract infection
HP:0003444	EMG: chronic denervation signs
HP:0200085	Limb tremor
MP:0004489	type III spiral ligament fibrocyte degeneration
MP:0004487	type I spiral ligament fibrocyte degeneration
MP:0002292	abnormal gestational length
HP:0004904	Maturity-onset diabetes of the young
ZP:0008232	abnormal(ly) increased branchiness trunk vasculature
MP:0004625	abnormal rib attachment
MP:0012180	abnormal somatic mesoderm morphology
MP:0012424	decreased alimentary system tumor incidence
MP:0004446	split exoccipital bone
MP:0012435	decreased colon tumor incidence
MP:0012434	decreased intestinal adenoma incidence
HP:0001103	Abnormality of the macula
HP:0003396	Syringomyelia
ZP:0002912	abnormal(ly) process quality blood vessel lumenization
ZP:0002913	abnormal(ly) unlumenized intersegmental vessel
ZP:0006856	abnormal(ly) structure atrial endocardium
ZP:0006857	abnormal(ly) decreased size atrial endocardium cell-cell junction
ZP:0006858	abnormal(ly) present in fewer numbers in organism atrial endocardium cell-cell junction
ZP:0006850	abnormal(ly) disrupted endothelial tube lumen extension involved in blood vessel lumen ensheathment
ZP:0006851	abnormal(ly) elongated cardiac ventricle
ZP:0002178	abnormal(ly) contractility atrial myocardium
ZP:0006852	abnormal(ly) decreased length common cardinal vein
ZP:0004024	abnormal(ly) elongated atrium
ZP:0006853	abnormal(ly) disrupted common cardinal vein blood vessel endothelial cell migration
ZP:0006855	abnormal(ly) physical quality cardiac jelly
ZP:0007562	abnormal(ly) morphology pronephros epithelial cell
ZP:0007563	abnormal(ly) structure pronephric glomerulus
ZP:0004759	abnormal(ly) disrupted cell differentiation
HP:0001592	Selective tooth agenesis
ZP:0000076	abnormal(ly) decreased length posterior lateral line nerve
ZP:0010692	abnormal(ly) physical object quality retinal ganglion cell neuron projection
ZP:0010689	abnormal(ly) decreased size cranial nerve
ZP:0010688	abnormal(ly) fasciculation cranial nerve II
ZP:0010690	abnormal(ly) decreased size lateral line nerve
ZP:0003002	abnormal(ly) shape eye
ZP:0010409	abnormal(ly) disrupted optic nerve development
ZP:0010680	abnormal(ly) disrupted amacrine cell differentiation
ZP:0010681	abnormal(ly) sparse retinal ganglion cell layer
ZP:0010687	abnormal(ly) sparse cranial nerve II
ZP:0010684	abnormal(ly) lacks parts or has fewer parts of type retina towards photoreceptor cell
ZP:0010685	abnormal(ly) lacks parts or has fewer parts of type retina towards amacrine cell
ZP:0004265	abnormal(ly) undulate whole organism
ZP:0009629	abnormal(ly) morphology macula
ZP:0009630	abnormal(ly) decreased size lateral longitudinal fasciculus
ZP:0009631	abnormal(ly) decreased size medial longitudinal fasciculus
ZP:0009635	abnormal(ly) cellular adhesivity post-vent region cell towards post-vent region cell
ZP:0009634	abnormal(ly) cystic post-vent region
ZP:0009633	abnormal(ly) shape rhombomere 3
ZP:0009632	abnormal(ly) shape rhombomere 5
MP:0005128	decreased adrenocorticotropin level
MP:0012604	decreased glutathione level
HP:0008072	Maternal virilization in pregnancy
HP:0008073	Low maternal serum estriol
HP:0001586	Vesicovaginal fistula
MP:0012531	delayed limb development
MP:0011968	decreased threshold for auditory brainstem response
HP:0007650	Progressive ophthalmoplegia
HP:0007817	Horizontal supranuclear gaze palsy
ZP:0000203	abnormal(ly) disrupted response to absence of light
ZP:0000196	abnormal(ly) increased width postoptic commissure
ZP:0000216	abnormal(ly) mislocalised Mauthner neuron axon
ZP:0000210	abnormal(ly) disrupted commissural neuron axon guidance
ZP:0000211	abnormal(ly) decreased width postoptic commissure
HP:0005311	Agenesis of pulmonary vessels
ZP:0008305	abnormal(ly) decreased size presumptive neural retina
ZP:0008304	abnormal(ly) disrupted retinoid metabolic process
ZP:0003865	abnormal(ly) position nucleate erythrocyte
ZP:0005500	abnormal(ly) disrupted digestive tract mesoderm development
MP:0011345	truncated loop of Henle
MP:0004899	absent squamosal bone
ZP:0007055	abnormal(ly) apical-basal polarity neuroepithelial cell
ZP:0005479	abnormal(ly) mislocalised medially axis melanoblast
ZP:0005717	abnormal(ly) amorphous somite border
ZP:0000797	abnormal(ly) malformed fourth ventricle
ZP:0009290	abnormal(ly) disorganized hindbrain neuron
ZP:0007134	abnormal(ly) composition fourth ventricle
ZP:0004423	abnormal(ly) elongated slow muscle cell myofibril
ZP:0004422	abnormal(ly) bent slow muscle cell myofibril
ZP:0002760	abnormal(ly) disrupted neural tube development
ZP:0006891	abnormal(ly) disrupted establishment of epithelial cell apical/basal polarity
ZP:0004420	abnormal(ly) arrested muscle cell migration
ZP:0010151	abnormal(ly) mislocalised Mauthner neuron
ZP:0010150	abnormal(ly) mislocalised mesodermal cell
ZP:0010149	abnormal(ly) present cell filopodium
ZP:0010147	abnormal(ly) umbonate hindbrain neural keel
ZP:0010145	abnormal(ly) disorganized hindbrain interneuron
ZP:0010144	abnormal(ly) structure pillar of the semicircular canal
ZP:0003682	abnormal(ly) disrupted convergent extension involved in neural plate elongation
ZP:0002875	abnormal(ly) apoptotic tail bud
ZP:0010132	abnormal(ly) position retinal pigmented epithelium
ZP:0010135	abnormal(ly) decreased length hair cell posterior macula kinocilium
ZP:0010128	abnormal(ly) loose midbrain cell
ZP:0010129	abnormal(ly) shape neural rod
ZP:0010131	abnormal(ly) disorganized pectoral fin bud cartilage element
ZP:0010140	abnormal(ly) malformed neuroectoderm
ZP:0010141	abnormal(ly) mislocalised axial mesoderm mesodermal cell
ZP:0010142	abnormal(ly) composition ventricular system
ZP:0010143	abnormal(ly) structure retinal inner plexiform layer
ZP:0010136	abnormal(ly) decreased length hair cell anterior macula kinocilium
ZP:0010137	abnormal(ly) disorganized spinal cord interneuron
ZP:0010139	abnormal(ly) decreased length whole organism photoreceptor outer segment
ZP:0010117	abnormal(ly) split epiphysis
ZP:0002566	abnormal(ly) vacuolated post-vent region
ZP:0010119	abnormal(ly) decreased thickness hindbrain
ZP:0010118	abnormal(ly) mislocalised retinal ganglion cell layer
ZP:0010125	abnormal(ly) fused with eye towards brain
ZP:0010124	abnormal(ly) disorganized tail bud paraxial mesoderm
ZP:0010127	abnormal(ly) mislocalised anteriorly midbrain fourth ventricle
ZP:0002568	abnormal(ly) morphology post-vent region somite
ZP:0010120	abnormal(ly) aggregated hindbrain cell
ZP:0010123	abnormal(ly) vacuolated tail bud
ZP:0010122	abnormal(ly) disoriented lens
ZP:0005075	abnormal(ly) decreased process quality secondary neural tube formation
ZP:0005074	abnormal(ly) decreased process quality establishment of mitotic spindle orientation
ZP:0006059	abnormal(ly) structure retinal outer plexiform layer
MP:0009835	absent sperm annulus
MP:0009141	increased prepulse inhibition
MP:0008061	absent podocyte slit diaphragm
MP:0008138	absent podocyte foot process
HP:0004389	Intestinal pseudo-obstruction
HP:0007641	Dyschromatopsia
HP:0007344	Atrophy/Degeneration involving the spinal cord
HP:0003434	Sensory ataxic neuropathy
HP:0006964	Cerebral cortical neurodegeneration
HP:0007240	Progressive gait ataxia
MP:0008389	hypochromic macrocytic anemia
MP:0010959	abnormal oxidative phosphorylation
MP:0000015	abnormal ear pigmentation
ZP:0008159	abnormal(ly) sharp Meckel's cartilage
ZP:0008158	abnormal(ly) decreased width Meckel's cartilage
ZP:0008160	abnormal(ly) mislocalised dorsally ceratohyal cartilage
HP:0007421	Telangiectases of the cheeks
MP:0012127	absent placenta hemotrichorial membrane
ZP:0009772	abnormal(ly) decreased length pronephric distal early tubule
ZP:0009774	abnormal(ly) decreased length pronephric distal late tubule
ZP:0009775	abnormal(ly) mislocalised posteriorly neural crest cell
ZP:0009768	abnormal(ly) mislocalised posteriorly exocrine pancreas
ZP:0009769	abnormal(ly) mislocalised posteriorly endocrine pancreas
ZP:0009770	abnormal(ly) increased length pronephric proximal convoluted tubule
ZP:0009771	abnormal(ly) decreased length pronephric proximal straight tubule
ZP:0009764	abnormal(ly) mislocalised posteriorly pancreas
ZP:0009765	abnormal(ly) spherical whole organism
ZP:0009766	abnormal(ly) decreased size corpuscles of Stannius
ZP:0009767	abnormal(ly) mislocalised posteriorly corpuscles of Stannius
ZP:0009761	abnormal(ly) disrupted foregut morphogenesis
ZP:0009763	abnormal(ly) mislocalised posteriorly liver
ZP:0007709	abnormal(ly) distended trunk mesenchyme
ZP:0007711	abnormal(ly) mislocalised posteriorly pancreas primordium
ZP:0007704	abnormal(ly) increased length hindbrain
ZP:0000470	abnormal(ly) decreased size post-vent region
ZP:0007702	abnormal(ly) delayed cell migration
ZP:0007719	abnormal(ly) mislocalised posteriorly pancreatic bud
MP:0008013	cecum polyps
MP:0002043	increased colon hamartoma incidence
MP:0004141	abnormal enteroendocrine cell morphology
ZP:0002067	abnormal(ly) temporally extended digestive tract mesoderm development
MP:0011224	abnormal lymph node medullary cord morphology
MP:0008472	abnormal spleen secondary B follicle morphology
MP:0002377	abnormal mucosa-associated lymphoid tissue morphology
MP:0009134	abnormal brown fat lipid droplet number
MP:0009112	abnormal pancreatic beta cell mass
MP:0005535	abnormal body temperature
HP:0012551	Absent neutrophil specific granules
HP:0011447	Hyposegmentation of neutrophil nuclei
HP:0001879	Abnormality of eosinophils
MP:0011454	abnormal glomerular endothelium fenestra morphology
MP:0011871	podocyte hypertrophy
HP:0006453	Lateral displacement of the femoral head
HP:0003182	Shallow acetabular fossae
MP:0011153	thick hippocampus stratum oriens
ZP:0007260	abnormal(ly) aplastic ceratobranchial 5 cartilage
ZP:0006331	abnormal(ly) arrested cell cycle process
ZP:0007257	abnormal(ly) present in fewer numbers in organism whole organism pigment granule
HP:0004782	Hypotrichosis of the scalp
MP:0000385	distended hair follicles
ZP:0002197	abnormal(ly) necrotic yolk
ZP:0008024	abnormal(ly) autofluorescence nucleate erythrocyte
ZP:0008021	abnormal(ly) autofluorescence yolk
ZP:0000615	abnormal(ly) decreased size hypothalamus
ZP:0008815	abnormal(ly) disrupted epithelial cell differentiation
ZP:0008817	abnormal(ly) morphology intestinal bulb
ZP:0008816	abnormal(ly) decreased size basal plate midbrain region
ZP:0008819	abnormal(ly) absent intestinal epithelium goblet cell
ZP:0008818	abnormal(ly) decreased size zona limitans intrathalamica
ZP:0008821	abnormal(ly) cuboid mid intestine epithelium epithelial cell
ZP:0008822	abnormal(ly) cuboid posterior intestine epithelium epithelial cell
ZP:0008824	abnormal(ly) present in fewer numbers in organism mesodermal cell
ZP:0002030	abnormal(ly) disrupted digestive tract morphogenesis
ZP:0004179	abnormal(ly) decreased thickness gut
ZP:0007710	abnormal(ly) increased size pancreas primordium
ZP:0002179	abnormal(ly) unfused from pronephric podocyte towards pronephric podocyte
ZP:0006902	abnormal(ly) dilated pronephric glomerulus
ZP:0007724	abnormal(ly) aplastic pronephric distal late tubule
ZP:0007722	abnormal(ly) aplastic pronephric distal early tubule
ZP:0007721	abnormal(ly) aplastic pronephric proximal straight tubule
ZP:0007720	abnormal(ly) bilateral pronephric glomerulus
ZP:0007718	abnormal(ly) increased size pancreatic bud
ZP:0007717	abnormal(ly) aplastic corpuscles of Stannius
